month,level_1,level_2,level_3,value
1978-01,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,70272.2
1978-01,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,16728.6
1978-01,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,4202.8
1978-01,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,2657.4
1978-01,Total International Visitor Arrivals By Country Of Residence,Asia,India,3378.8
1978-01,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,623.4
1978-01,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,833.7
1978-01,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,7937.3
1978-01,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,3739.4
1978-01,Total International Visitor Arrivals By Country Of Residence,Europe,France,2968.2
1978-01,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,1725.9
1978-01,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,2566.2
1978-01,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,1748.3
1978-01,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,407.1
1978-01,Total International Visitor Arrivals By Country Of Residence,Americas,USA,10268.2
1978-01,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,1227.6
1978-01,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,20403.8
1978-01,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,4211.7
1978-02,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,69550.8
1978-02,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,17873
1978-02,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,3949
1978-02,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,1439
1978-02,Total International Visitor Arrivals By Country Of Residence,Asia,India,3924.3
1978-02,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,656.9
1978-02,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,830.2
1978-02,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,8216.6
1978-02,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,4321
1978-02,Total International Visitor Arrivals By Country Of Residence,Europe,France,3212.2
1978-02,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,1858.9
1978-02,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,2825.9
1978-02,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,1579
1978-02,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,540.2
1978-02,Total International Visitor Arrivals By Country Of Residence,Americas,USA,8986.3
1978-02,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,1278.3
1978-02,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,18879.5
1978-02,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,4282.5
1978-03,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,69012.5
1978-03,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,17455.4
1978-03,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,5212.1
1978-03,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,1972.8
1978-03,Total International Visitor Arrivals By Country Of Residence,Asia,India,4349.8
1978-03,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,651.5
1978-03,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,818.6
1978-03,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,8454.2
1978-03,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,4676.4
1978-03,Total International Visitor Arrivals By Country Of Residence,Europe,France,2696.7
1978-03,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,1622.6
1978-03,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,2813.6
1978-03,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,1456.7
1978-03,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,441.2
1978-03,Total International Visitor Arrivals By Country Of Residence,Americas,USA,9292.1
1978-03,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,1432.8
1978-03,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,20830.4
1978-03,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,4181.3
1978-04,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,71325.5
1978-04,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,16937.5
1978-04,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,3091.4
1978-04,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,2416.9
1978-04,Total International Visitor Arrivals By Country Of Residence,Asia,India,3661.4
1978-04,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,697.5
1978-04,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,905.7
1978-04,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,7703.4
1978-04,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,4281.8
1978-04,Total International Visitor Arrivals By Country Of Residence,Europe,France,3228.7
1978-04,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,2177
1978-04,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,2907
1978-04,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,1518.7
1978-04,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,390.8
1978-04,Total International Visitor Arrivals By Country Of Residence,Americas,USA,12011.5
1978-04,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,1558.1
1978-04,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,18714
1978-04,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,4124.9
1978-05,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,70063.6
1978-05,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,16810.5
1978-05,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,4184.6
1978-05,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,2230.5
1978-05,Total International Visitor Arrivals By Country Of Residence,Asia,India,4128.2
1978-05,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,682.7
1978-05,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,898.4
1978-05,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,8058.8
1978-05,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,4485.6
1978-05,Total International Visitor Arrivals By Country Of Residence,Europe,France,2773.8
1978-05,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,1544.4
1978-05,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,2979.4
1978-05,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,1454.9
1978-05,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,453.1
1978-05,Total International Visitor Arrivals By Country Of Residence,Americas,USA,12791.4
1978-05,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,2028.4
1978-05,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,19812.7
1978-05,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,4273.9
1978-06,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,65696.9
1978-06,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,15823.6
1978-06,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,4419.7
1978-06,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,2717.6
1978-06,Total International Visitor Arrivals By Country Of Residence,Asia,India,4442.3
1978-06,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,667.2
1978-06,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,903.6
1978-06,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,7849.8
1978-06,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,4061.5
1978-06,Total International Visitor Arrivals By Country Of Residence,Europe,France,2375.6
1978-06,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,1326.1
1978-06,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,2876.7
1978-06,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,1159.3
1978-06,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,420.6
1978-06,Total International Visitor Arrivals By Country Of Residence,Americas,USA,10877
1978-06,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,1491.8
1978-06,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,18581.9
1978-06,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,3908
1978-07,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,68641.9
1978-07,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,16720
1978-07,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,4371.4
